"COL 1","ifnull(`table 10`.`COL 2`,0)"
1000221146666845,0
1000255683354598,0
1000385139983253,0
1000998176589765,1
1001040929919192,0
1001066223249757,0
1001440696565058,0
1001720936516277,1
1001867859858786,0
1001898479867518,0
1002637279793278,1
1002644209815460,0
1002697523102113,1
1002955789765604,0
1003096223067619,0
1004129749628901,0
1004304149657809,0
1004908149547955,0
1005678109455533,0
1006004226155178,0
1006277269436147,0
1006386812769051,0
1006501926037603,0
1006750989347204,0
1006819992674211,0
1007165415973444,0
1007443895975104,0
1007575429285966,0
1007662395965730,1
1008266352568672,0
1008473435862262,0
1008725772482174,0
1008782309166051,0
1009313862464343,0
1009471705740092,0
1009544312400408,0
1009605809060415,1
1010013395685935,0
1010891435599457,1
1011087318912142,1
1011408142250506,0
1012113862187742,1
1012363975450955,0
1012718155414920,0
1013285298694088,0
1013337012021760,1
1013383715386538,0
1013761552020730,0
1013765795312255,0
1013785865309464,0
1014019208618159,1
1014667065222403,0
1014707275218843,1
1014833638540135,1
1014940011882871,0
10153171670222484,0
10153400905918510,0
1015360755153758,0
10153819162963624,0
10153839699603024,0
10156160110995461,0
1015623491792147,0
1016671561688828,1
1017084254978731,0
1017303654978098,0
1017365701648791,0
1017433504946119,0
1017761351599116,0
1017948868263186,0
1018291551547505,1
1018662838155305,0
1019000751455053,1
1019119404805762,0
1019282031463174,0
1019438871453366,0
1019773951378009,1
1019834908083111,0
10200926397837596,0
10200982088551009,0
10200988888401186,0
10201129490556592,0
10201357998068803,0
1020273494696238,1
1020325694657232,0
10203491633931395,0
10203763767054888,0
10203862969253944,0
10203880006679186,0
10203941897022852,0
10203971397325694,0
10204005753819114,0
10204128382564914,0
10204217038825494,1
10204221564254036,0
10204240426084322,0
10204245116362036,0
10204245407529222,0
10204418254531560,0
10204441576074256,1
10204503090892318,0
10204653137522750,0
10204788915431399,0
10204869477247714,1
10204984256385991,1
10205060021392457,0
10205101304161760,0
10205176627366808,0
10205211463911803,0
10205216478471675,1
10205232098391116,1
10205286283709041,0
10205600989409415,0
10205603173702880,0
10205758995038641,0
10205858639244852,0
10205859954717655,1
10205925079230534,0
10206261951320072,1
10206603806626284,0
10206756702069395,1
10206827600181653,1
1020696097953738,0
10207012808992409,1
10207289273682604,0
10207318116528174,0
10207346827983183,0
10207531037427233,0
10207840642764896,0
10208038034579066,1
10208043001901296,0
10208052007242010,1
10208069039113430,1
10208087461763609,0
10208214802358547,0
10208232711120963,1
10208424270550008,1
10208528738239528,0
1021406887879899,0
1022430614463141,1
1022503041147867,0
1022615911094715,0
1022999034388635,0
1023081161046282,0
1023309034358981,0
1023398891016548,0
1023457651059603,0
1023604640992961,0
1023742157647429,1
1024394144249923,1
1025012497519217,0
1025107264178801,0
1025391670836934,0
1025507954138019,0
1025919794118265,0
1026052777445044,1
1026353860719506,0
1026842644003131,0
1026918613996846,0
1027088707312422,0
1027327680624044,0
1027434413944487,0
1027895360565586,0
1028565790498629,0
1028567770498955,0
1028653463824691,0
1029015800498131,1
1029057807151391,0
1029058340450186,0
1029782700376691,0
1029822057048411,0
1030091637050287,1
1030143623673414,0
1030446713642392,0
1030804723607023,0
1030852683604882,0
1031131100242476,0
1031268520227279,0
1031503443560867,0
1031574540227902,0
1031833386838357,0
1032195736832713,0
1032213800133713,0
1032569676763279,0
1032712436750735,1
1033013236721923,1
1033535383374384,0
1033931806677983,0
1034454656575170,0
1034687693259697,0
1034959829857767,0
103522680024234,0
1035277113196802,0
1036030003085779,1
1036313213056211,0
1036964036323822,0
1037585949624952,0
1037703619583093,0
1037786672909117,0
1037928989603664,1
1037974716224539,0
1038124482917868,1
1038558879499560,1
1038685669517769,0
1038999342788010,0
1039372622769170,0
1039506809403770,0
1039536616132684,1
1040530962635317,0
1040770709276695,0
1040803542608382,0
1040963869258723,1
1040988089254713,0
1041157822588968,1
1041170059238302,0
1041371269217552,0
1041419752545471,0
1041492605871345,0
1041650395902756,0
1041669009230651,0
1041796665842570,0
1042025839153041,0
1042031715819198,0
1042335032453771,0
1042739412413484,1
1042787912408769,0
1042789382409102,0
1042812875740394,0
1043419209042738,1
1043864838969099,0
1044219938969706,0
1044284412258677,0
1044461622241271,1
1044470202282659,1
1044767335573574,1
1045121648841790,1
1045175932212918,0
1045259978828332,1
1045305032169937,0
1045551882181358,0
1046053772082459,0
1046690085352670,1
1046895575333881,0
1047323231955214,0
1047367568617965,0
1047589671958261,0
1047624058593064,0
1048193195204201,1
1048389175181739,0
1048536751831696,1
1049183981769422,0
1049210631766577,0
1049422061746809,1
1049520145067920,0
1049965271692376,0
1050199278364640,0
1050298411688946,1
1050429491643540,0
1050458468306409,1
1050515778302703,1
1050698591618081,0
1050713738296094,0
1050724671615297,0
1050877741602038,0
1051035748250804,1
1051132321577909,0
1052123844807673,0
1052400118114492,0
1052696078085207,0
1052700971417595,0
1053187978033561,1
1053257204747513,0
1053378418026824,0
1053511161337164,0
1053577821329246,0
1053779244643844,0
1053987167952903,1
1054096614651586,0
1054254197930903,0
1054305784582166,0
1054742631210783,0
1054917661195401,0
1054937511193439,0
1055009671189284,0
1055606757811589,0
1056033894417387,0
1056050141081805,0
1056180171067236,0
1056791491008715,0
1056810844339394,0
1057575190960171,1
1057611480957149,0
1057756070912092,0
1058502887533385,0
1058647937486922,1
1058805260850463,0
1059107330774447,0
1059144704107004,1
1059152324103713,0
1059191597438231,0
1059471657420660,0
1060752117276576,0
1060989390618289,0
1061119833927746,1
1061658437186903,1
1062181553802538,0
1062296723790911,0
1062659890421651,0
1062784487076898,0
1063532657002007,0
1064012423616578,0
1064147813607450,0
1064159676941462,0
1064206050267998,1
1064507623567732,0
1064698446875555,0
1064732283592780,0
1065733493448803,1
1065734740125294,0
1065801796785258,1
1065890253429361,0
1065948683423451,0
1066085840081840,0
1066259990061332,1
1066318803387242,0
1066671996687091,0
1067015783310174,1
1067842903236514,0
1067919383229489,0
1068534563158949,1
1068758833142585,0
1068880379797865,0
1068918619825608,1
1069220216430309,0
1069435759741963,0
1069917979693677,0
1070380666316240,0
1070478846305183,0
1070620102977822,0
1071263579551548,0
1071367329560585,1
1071408222891031,0
1071891449512318,1
1072039836150921,0
1072274166136150,1
1072822672729069,1
1073048156053104,0
1073237752698181,0
1073356202688012,0
1073904122674054,0
1074392705918064,0
1074395199249209,0
1074544472564759,0
1074991269191832,0
1075152945836285,0
1075409875837524,0
1075538002467627,0
1075687625784617,0
1076189679067250,0
1076470819040096,1
1076928805660438,0
1077202165631749,0
1077771258913719,1
1077977048889846,0
1078179445565739,1
1078300972188945,0
1078375258847862,1
1078710875481660,0
1078875878797749,0
1078923688793156,0
1079099472109030,1
1079838412035363,0
1079972665355065,1
1080162158697056,0
1080803955271262,0
1080930141930361,0
1080985568586592,0
1081291721883554,0
1081524161866478,0
1081697941849941,1
1081768261842829,0
1082189811791090,1
1082433905108753,0
1083117801711998,0
1083118418374239,1
1083121275039303,1
1083465678370698,0
1083658194980159,1
1083862561675012,0
1084040388286472,1
1084979031521576,0
1085306224874646,0
1085675188137742,1
1085963204755611,1
1086794648018222,1
1086797774664818,1
1086806638009879,0
1087592437926693,1
1087671771263942,0
1087845617928962,1
1088212704523296,1
1088305261210094,0
1088605117831097,0
1089021594462482,0
1089664917713420,0
1089747874378299,0
1090205267665406,0
1090287074323529,0
1090763000948425,0
1090815234276125,0
1090896420928079,0
1091604914206901,0
1091718024179829,1
1092113020840512,1
1092133690806432,0
1092212400797130,1
1092222120797458,0
1092344854123550,1
1092572804096499,0
1093023217383000,0
1093204377378581,0
1093718437345845,0
1094149680604537,0
1094199177311694,0
1094406393916910,0
1094529097237994,0
1094592087258611,0
1094639780554617,1
1095201063832609,0
1095375317147480,0
1096146237065090,0
1096369383721093,0
1096589970353152,0
1097043360319168,0
1097291173628533,0
1097450003622020,0
1097467360277802,0
1097735950251571,0
1097921653560680,1
1098046680219776,0
1098092570209505,0
1098214080198260,0
1098545670163661,0
1098610280158577,0
1098893260143730,0
1099130166777677,0
1099308553421014,1
1099323336756433,0
1099490773416658,0
1099817550036997,0
1099842006722446,0
1099962203356681,0
1100703589949312,1
1101005163257544,1
1101329859886525,0
1101782003179758,0
1101882486502355,0
1101893519830021,0
1102248913127511,0
1102415023116416,0
1102421586457276,0
1102950803083422,1
1103726336313304,0
1103796019638544,0
1104089172943844,1
1104655199553657,0
1104803349545023,0
1104840406207197,1
1104844419534128,0
1105023002855609,0
1105696619449938,0
1105797736106238,0
1105974252754031,0
1107043759317855,0
1107748712576737,0
1109318482412106,1
1109406395745503,0
1109435015743160,0
1109514445739880,0
1109799849031168,1
1110265782326144,0
1112242048795460,0
1112634745427983,0
1112894615400847,0
1114663485225069,0
1114775328543465,0
1114831655204434,0
1114863525198340,0
1115831478442164,0
1116847698335014,0
1117225444969472,0
1117638651588188,1
1117671721585298,1
1119692848064675,1
1120071638016904,0
1120141571349456,0
1120196344671931,0
1120331821318950,0
1121020491250975,1
1121064011245388,0
1121315131212970,0
1121785514499312,0
1122161297801981,0
1123059581046464,0
1123281644363650,0
1123300291023639,0
1123716807646688,0
1123826814308942,1
1123982237620913,1
1124186137599160,1
1124659900891630,0
1125659230787085,0
1126006647422142,0
1126458054038992,0
1126631594023190,0
1126917027333618,1
1128824173802023,1
1128896673789785,0
1129398727079879,0
1130160613668481,0
1130162727008590,0
1131265030225139,1
1132376260106562,0
1133243000032976,0
1133297226687914,1
1134260769925236,1
1135253813159878,0
1135484019798157,1
1136585786359374,0
1136653009697256,0
1136875929670864,0
1136913692986991,0
1137483606271083,0
1137632836248773,1
1137751309575911,0
1138047176208825,0
1138794642805329,1
1138795559468760,0
1139028609461151,0
1139166889441721,1
1139493646068287,0
1139659662725700,0
1140280172666951,0
1140354212649220,0
1141511842540798,1
1142420522442408,0
1142449075766150,0
1144171675594974,0
1144471305570657,1
1145080295504082,0
1145829382095695,0
1146048965420419,0
1146101478748331,0
1147193608627000,1
1147744198586379,0
1148376598520871,0
1149075561810543,0
1149235905109966,0
1150153158346764,1
1150828718268493,0
1151063131579441,0
1153103794714955,0
1153650101326545,0
1154239331254623,0
1154320274592281,1
1156181721073824,1
1156370107714322,1
1156370974386735,1
1156515177710160,0
1157764474247979,0
1158124557546196,0
1160909233922720,1
1161824087167318,1
1162847587062778,1
1166222966729509,1
1166232043395268,0
1166826889997533,0
1168704839826237,0
1168735946488639,0
1169185276428530,0
1170146686334733,0
1170304506316607,1
1172366589446847,1
1172612286088516,0
1172692276080208,1
1173377952689504,0
1176743585675714,0
1176911398989010,0
1178124385550684,0
1178749502153812,0
1179303008765141,0
1179480085401891,0
1180316388648418,0
1180545618625723,1
1180766928603664,0
1180918481941092,0
1181197395241416,0
1182007508493413,0
1182120028471662,1
1182307308456684,0
1182535035093769,0
1183189245030801,0
1183580558323179,1
1184464154903830,0
1184860318197081,0
1184900711525149,0
1184990528181012,0
1185019814848321,0
1186697801346708,0
1187260604634924,0
1187744871239634,0
1187939501222833,0
1188361051178462,1
1188793887856149,0
1189072507787558,1
1189407801087381,0
1189707934376472,0
1190546144293651,1
1190952890933766,0
1191203754226448,0
1191433334203688,0
1191742804175398,1
1193106547371199,1
1193207804026239,1
1194988797182412,0
1196214863726904,0
1196271537061185,0
1197018856981264,0
1197211303628610,1
1197396616940652,1
1199816546701077,0
1200661243281748,0
1200733853275655,0
1200862076596898,0
1200973003252038,1
1201165613232537,1
1201741979840535,0
1202646053084815,1
1203492219664152,0
1204431136239540,0
1204987519517783,1
1205146662833759,0
1205446956136308,0
1205566749461104,0
1207631855917066,0
1207644169250852,1
1207682902580625,0
1207692065911813,0
1208991525832268,0
1209689839047118,0
1209913682355804,1
1210191955663505,1
1210850462277338,0
1211906005493613,0
1212043898812988,0
1212445988771604,0
1213565848659628,0
1214613868553203,0
1215228781826306,1
1215711171779337,0
1216260495057294,1
1217374141610262,0
1217509224932390,0
1217532468261965,0
1217796998236461,1
1217993504882905,1
1219187078098511,0
1219263858089716,0
1219653684718723,0
1219662141381914,1
1220351304646104,1
1220425501306809,0
1221224321225700,0
1222669197750379,0
1223120611036937,1
1223988764281604,0
1225780964104235,1
1225994107415023,0
1226057554075783,0
1226150647413057,0
1226309947386368,1
1226433547372553,0
1227841717229575,0
1227848113899086,0
1228053783878356,0
1228491647166700,0
1228786040471567,0
1229652130384191,0
1230165913663847,1
1230211030329627,0
1231962036820736,0
1232617820086966,1
1232652280084377,0
1233176433366458,0
1233446233348706,0
1233555376660353,0
1233562309993244,0
1233948256620285,1
1234833373209491,0
1235292013154568,0
1235634403120095,0
1235650066452275,0
1236695073013333,0
1236696683012735,0
1237172662964557,0
1237336276283626,0
1237456676270814,0
1238208586196001,0
1238958576130796,0
1239066569441864,1
1239200972760211,1
1239318606086306,0
1239768412705860,0
1239864086031025,1
1239935336022466,0
1240092356006932,0
1240290699318088,0
1240676369283161,1
1240740299276326,0
1241051279245401,1
1241174505909511,0
1241194945896164,0
1241202479229750,1
1241671505846720,1
1242535595762735,0
1242652292416671,0
1244536472239981,0
1244927085522894,1
1245737175442587,0
1247980461884648,0
1248051431879004,0
1248082838540276,0
1249043568444104,0
1249564321726504,0
1249681581715460,1
1250197474995429,1
1250377271642721,0
1250636118296151,1
1251566991527194,0
1252199688129608,0
1252656414753776,0
1253234684703392,0
1254085807941411,1
1254091471284213,0
1254860917863252,0
1256389231042972,1
1256691881023722,0
1256713707688802,0
1257092900984885,0
1257538630929169,0
1257932924222108,1
1258623404154480,1
1259076380776585,0
1260448923970479,0
1261047540587623,0
1263105267049995,0
1264634670230389,0
1266312210051761,0
1267405526608502,0
1268654969813133,0
1269080649775678,0
1269783576381612,0
1269876979708139,0
1274067139286720,1
1276143402402870,0
1276379419054759,1
1279131768778871,0
1279188052098786,0
1281210998571557,0
1284305211585714,1
1288110234548014,0
1293139560712024,0
1293823363967075,0
1298187470206782,1
1301752263183726,0
1302031229810828,1
1302907526401806,1
1303512576330881,0
1304290859588476,0
1307631269262674,1
1311386205542156,0
1313667248649220,1
1317304811629412,0
1354951031188031,0
1365103273506074,0
1368992636460341,0
149034265487009,0
1505582539745479,0
1507288939566926,0
1514399251909997,0
1518656474864116,0
1521680018129492,0
1526512677676172,0
152852185085365,0
1535753523406737,0
1541537329505166,0
1636561166609879,0
164509367240264,0
1652770598311256,0
